id,title,date,type,duration_seconds,video_url,summary_count,vote_count,topics,wer_score
1244,12/2/25 Council Meeting,2025-12-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_62e7c723-8246-4e20-bf2d-d01c346d8f89.mp4/playlist.m3u8,49,4,,0.3391988019468364
1243,11/18/25 Council Meeting,2025-11-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4a1f2192-0699-4f5b-8c3a-615d9fbd677a.mp4/playlist.m3u8,57,11,parking minimums or parking reform,0.28890713373471993
1241,10/27/25 Bidwell Park & Playground Commission,2025-10-27,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_55f4c395-bf8d-4a65-8d27-c43961e964a0.mp4/playlist.m3u8,38,2,groundwater or water supply,0.294510160752199
1240,10/21/25 Council Meeting,2025-10-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_3a596823-258f-4a46-960d-4b4f35a13559.mp4/playlist.m3u8,53,6,infrastructure deficit|parking minimums or parking reform,0.2952830807583809
1237,10/7/25 Council Meeting,2025-10-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_378abc0d-3d8e-4f29-823a-42c337b8c978.mp4/playlist.m3u8,55,3,adu (accessory dwelling units)|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform,0.2680428666266241
1236,9/16/25 City Council,2025-09-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_a473652a-88b7-4e7a-8380-6e08cdc9d35f.mp4/playlist.m3u8,64,9,affordable housing|infill development|infrastructure|infrastructure deficit|parking minimums or parking reform,0.32498935943817836
1235,9/2/25 City Council and Special Closed Session,2025-09-02,Special Meeting,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f4207a4c-f7a4-4fd8-80a0-efd4ca944a6d.mp4/playlist.m3u8,33,8,groundwater|parking minimums or parking reform|tiny homes,0.2585626378729827
1234,8/25/25 Bidwell Park & Playground Commission,2025-08-25,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_49f63613-983c-461d-9e0b-dbb0685b0e13.mp4/playlist.m3u8,46,2,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.3415555384259616
1233,8/19/25 City Council,2025-08-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b260ea0c-698b-4724-a8db-5ec79e90081d.mp4/playlist.m3u8,55,5,parking minimums or parking reform,0.28794833890920407
1232,7/28/25 Bidwell Park & Playground Commission,2025-07-28,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c8cd00cf-3807-440c-ac23-00a799f96f8e.mp4/playlist.m3u8,62,2,,0.3083570919458304
1230,7/8/25 City Council,2025-07-08,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_10f8041f-453e-41a9-94ab-098de2f317b1.mp4/playlist.m3u8,56,8,parking minimums or parking reform,0.2789617486338798
1229,6/17/25 City Council,2025-06-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b46e20cb-defe-49e1-bfc5-9306cf0402e4.mp4/playlist.m3u8,47,5,parking minimums or parking reform,0.2281797458077007
1225,6/3/25 City Council Minutes,2025-06-03,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_d18889ea-61c9-4589-8bf8-7ef198f41db1.mp4/playlist.m3u8,50,9,infill development|parking difficulties and new parking systems|parking minimums or parking reform,0.290984551533318
1224,5/20/25 City Council Meeting,2025-05-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_ffb9c313-ec58-4742-8af8-1d764c976092.mp4/playlist.m3u8,83,9,groundwater or water supply|infill development|infrastructure deficit|parking management program|parking minimums or parking reform,0.2928509714437626
1223,5/19/25 Bidwell Park and Playground Commission,2025-05-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_18df7442-94cf-4920-8817-b8e5ed1e3f9b.mp4/playlist.m3u8,28,1,parking minimums or parking reform,0.30808834502313087
1221,5/6/25 City Council (Start at 3:00 p.m.),2025-05-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_8c3f1de7-5694-48bd-a919-be72fbcc60eb.mp4/playlist.m3u8,80,9,form-based codes|infill development|infrastructure deficit|missing middle housing|mixed-use housing|parking minimums or parking reform|smart growth,0.34469920813142657
1220,4/28/25 Bidwell Park and Playground Commission,2025-04-28,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_37e7dc40-7ef4-4cc8-90da-b44fe8a76f20.mp4/playlist.m3u8,47,6,parking minimums or parking reform,0.2839455782312925
1219,4/15/25 City Council,2025-04-15,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_96411bce-44eb-4f84-8302-8085ca1b5077.mp4/playlist.m3u8,51,6,adu (accessory dwelling units)|infill development|infrastructure|parking,0.5207326665917519
1217,4/1/25 City Council,2025-04-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_22f52e2d-112d-4061-af08-8299b72a1f66.mp4/playlist.m3u8,50,10,ground floor office space|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|vacant buildings,0.34743706399757357
1216,3/31/25 Bidwell Park and Playground Commission,2025-03-31,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_fd0822a5-5b7d-491b-8245-ab37bcfa40d2.mp4/playlist.m3u8,33,1,parking minimums or parking reform,0.32687410032111613
1213,3/19/25 Council Strategic Planning Workshop,2025-03-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f3c24946-4009-4c35-acf2-b83d159badfa.mp4/playlist.m3u8,6,0,,0.3165871754107048
1212,3/18/25 City Council,2025-03-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5bdd552d-289e-4d14-a5cd-98735ef35504.mp4/playlist.m3u8,54,7,housing crisis|missing middle housing,0.34388399469868247
1211,3/4/25 City Council,2025-03-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_18d71744-dd3a-475a-aa2c-0dffc6cab6ae.mp4/playlist.m3u8,40,5,managed campgrounds|micro shelters|parking minimums or parking reform|safe parking sites,0.2860818273092369
1209,2/20/25 Planning Commission Meeting,2025-02-20,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f570522a-07c3-4e47-abd4-a1502a26271b.mp4/playlist.m3u8,28,5,infill development|missing middle housing,0.28891509433962265
1208,2/18/25 City Council,2025-02-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c3170a89-9a3b-4f10-80b6-04b587f7f07f.mp4/playlist.m3u8,43,4,parking minimums or parking reform,0.4706445597943859
1207,2/4/25 City Council,2025-02-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_531b8831-11b1-4e33-85fc-22d174f821fa.mp4/playlist.m3u8,47,2,parking minimums or parking reform,0.4464299498263219
1204,1/28/25 City Council,2025-01-28,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_7b373d52-fbb7-4fb8-8c14-1d0d3464c0d0.mp4/playlist.m3u8,54,9,infill development,0.34020143884892085
1203,1/7/25 City Council,2025-01-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_cd6977b2-eb5e-44e9-887a-208a6328f6cf.mp4/playlist.m3u8,38,3,groundwater|parking minimums or parking reform,1.0
1202,12/17/24 Council Meeting,2024-12-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_74f110da-3fb4-4207-96b0-9fef112bb067.mp4/playlist.m3u8,43,6,,0.23027266596011176
1199,12/4/24 City Council - Special Meeting,2024-12-04,Special Meeting,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_caacfa93-5f0a-4293-abe1-6729b6f68569.mp4/playlist.m3u8,25,0,,0.2816681534344335
1198,11/19/24 City Council,2024-11-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c02abeab-6f67-4dbf-a4bd-b73ee93cb102.mp4/playlist.m3u8,62,9,groundwater or water supply|infrastructure deficit|parking minimums or parking reform,0.385486794407043
1196,11/05/24 City Council,2024-11-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c3f0a270-aa9d-4e62-bf17-ff1cb49e0f5d.mp4/playlist.m3u8,49,2,parking minimums or parking reform,0.160578911095796
1194,10/15/24 City Council,2024-10-15,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e3b47e6c-9cd0-49ef-8787-759e5f616283.mp4/playlist.m3u8,53,6,groundwater or water supply|infill development|infrastructure deficit|parking minimums or parking reform,0.19913810382842254
1191,10/1/24 City Council,2024-10-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_01549b2c-7136-40f7-9c4c-20467b68197b.mp4/playlist.m3u8,27,1,,0.28692866822717755
1188,9/17/24 City Council,2024-09-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_01fb70df-e33a-4e3d-8a0d-920f3abc11f6.mp4/playlist.m3u8,54,4,adu (accessory dwelling units)|infill development|missing middle housing|parking minimums or parking reform,0.3403173199181823
1185,9/3/24 City Council,2024-09-03,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_ac0d2734-ab5b-45a9-bb4f-dc7f53b86f1b.mp4/playlist.m3u8,40,3,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.8557702032972591
1180,8/20/24 City Council,2024-08-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_94eaee50-b26b-405c-b3ca-34d86753c1f1.mp4/playlist.m3u8,53,7,infill development|missing middle housing,0.29069616135328563
1174,7/18/24 Planning Commission,2024-07-18,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c1915aa0-4f9d-437d-952d-92e50b0bc41c.mp4/playlist.m3u8,26,5,infill development,0.1632512377013223
1172,7/16/24 City Council,2024-07-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_3721d6d2-7015-452f-b47b-83d82f311e45.mp4/playlist.m3u8,17,1,,0.37904269081500647
1168,6/18/24 City Council,2024-06-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c1e388ad-98a0-4d5b-a64b-7988900d5920.mp4/playlist.m3u8,52,6,,0.2270572620401972
1166,6/4/24 City Council,2024-06-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9bb26ba2-d462-4704-a94e-33916d9c3f4d.mp4/playlist.m3u8,52,9,missing middle housing|parking minimums or parking reform,0.8937821683546405
1165,5/21/24 City Council,2024-05-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f5451098-db17-4901-9359-6a258a2d9057.mp4/playlist.m3u8,37,3,housing|infill development|smart growth|valley's edge development,0.3269434989788972
1162,5/7/24 City Council,2024-05-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_22f02d42-d03e-46ea-b260-1bb69497aeb1.mp4/playlist.m3u8,70,8,infrastructure deficit,0.556750941366326
1160,4/16/24 City Council,2024-04-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_98c05cc2-fb0b-4236-a0b5-f8ed14af6a61.mp4/playlist.m3u8,44,6,infrastructure deficit,0.37576422636776924
1159,4/2/24 City Council,2024-04-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_c91dc1c1-a590-4185-92ec-2f4ff5681dac.mp4/playlist.m3u8,55,4,,0.3573730342871874
1156,3/19/24 City Council,2024-03-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e8618f46-c05a-454c-9d4a-990f7a346402.mp4/playlist.m3u8,55,7,parking minimums or parking reform,0.23547424022047003
1155,3/5/24 City Council,2024-03-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_1376682e-7726-4051-b18f-bfe19640a517.mp4/playlist.m3u8,43,5,infrastructure deficit,0.23433874709976799
1154,02/20/24 City Council,2024-02-20,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_36357f78-c87c-45bd-995a-5d101f7c9e48.mp4/playlist.m3u8,41,4,groundwater or water supply,0.17748424538042512
1153,2/6/24 City Council,2024-02-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_06d788ca-5ad5-4e61-a0d7-e10cdd4a9ff9.mp4/playlist.m3u8,25,4,,0.9813823004335629
1152,2/1/24 Planning Commission,2024-02-01,Planning Commission,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4605a12b-0ad7-4907-8eed-1c68fb8f9532.mp4/playlist.m3u8,16,3,,0.17021004098360656
1149,1/16/24 Council Meeting,2024-01-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4766fab5-7217-4b91-a236-76404963f48f.mp4/playlist.m3u8,66,12,adu (accessory dwelling units)|form-based codes|groundwater or water supply|infill development|infrastructure deficit|missing middle housing|parking minimums or parking reform|valley's edge development,0.2163673625343013
1147,1/6/24 Emergency Council Meeting,2024-01-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_2cafba71-4c56-4876-9fa9-d02c057c0191.mp4/playlist.m3u8,17,4,,0.15037252407777577
1146,12/19/23 City Council,2023-12-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_16a27c36-011e-48c2-9482-45559d3c4075.mp4/playlist.m3u8,51,3,,0.9998744507219084
1144,12/5/23 City Council Meeting,2023-12-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5bbaa73e-61b2-4dfb-bf7f-22bb7ce8717d.mp4/playlist.m3u8,27,2,infrastructure deficit,0.17611669688478654
1145,12/5/23 Council Meeting,2023-12-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_23005646-944f-11ee-a93d-0050569183fa.mp4/playlist.m3u8,40,6,,0.17621723614586324
1143,11/21/23 Council Minutes,2023-11-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_9ab24027-745f-4f13-8f39-b2dd6b79de7c.mp4/playlist.m3u8,38,3,parking minimums or parking reform,0.21666867397326267
1141,11/7/23 City Council,2023-11-07,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_190f8def-26c8-4593-9bc4-171abf669501.mp4/playlist.m3u8,52,5,affordable housing|housing fee|housing money|infill development|missing middle housing,0.29235521235521233
1140,10/17/23 City Council,2023-10-17,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_d74c9ad2-ba87-4c0d-ab43-9df7679a3ee3.mp4/playlist.m3u8,65,8,infill development|parking minimums or parking reform|valley's edge development,0.18531195356970126
1135,9/19/23 City Council,2023-09-19,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_afbf6a48-e6d1-4ea4-9075-1f765a206b42.mp4/playlist.m3u8,48,2,,0.9696072942493802
1134,9/5/23 City Council,2023-09-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e503b71d-0902-4c2d-b53e-117c1978ecfe.mp4/playlist.m3u8,31,4,infill development|missing middle housing|valley's edge development,0.1980580496972228
1131,8/1/23 City Council,2023-08-01,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_96c48fc1-c6ab-44b5-877e-011e326ee75c.mp4/playlist.m3u8,38,8,infill development|parking minimums or parking reform,0.2013088863648656
1129,7/5/23 City Council,2023-07-05,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_986b6ed8-6e51-4514-b976-d17d27a84072.mp4/playlist.m3u8,51,5,infill development,0.17268017813323638
1125,6/6/23 City Council,2023-06-06,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_b922a216-1102-4775-89bf-e0f87e664c28.mp4/playlist.m3u8,23,2,,0.33614088820826954
1124,5/16/23 City Council,2023-05-16,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_d87f96e6-2085-4b26-861b-bd2a65b5485e.mp4/playlist.m3u8,69,10,adu (accessory dwelling units)|adus|economic development|housing|infrastructure|infrastructure deficit,0.2360747663551402
1122,5/2/23 City Council,2023-05-02,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_f67feecd-0156-47cb-a20d-0aa1c6070d04.mp4/playlist.m3u8,56,9,groundwater or water supply,0.24759729005829526
1121,4/18/23 City Council,2023-04-18,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_4dcc3574-cf81-4e55-b740-506214d3bdcd.mp4/playlist.m3u8,27,2,affordable housing|parking minimums or parking reform|valley's edge development,0.21478555304740407
1120,4/4/23 City Council,2023-04-04,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_e3c7f723-46bb-403d-a313-76f536841218.mp4/playlist.m3u8,29,3,missing middle housing|valley's edge development,0.175874630037186
1119,3/21/23 City Council,2023-03-21,City Council,,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chico-ca/chico-ca_5227a597-7574-4633-8d1a-fd3f06800644.mp4/playlist.m3u8,44,8,parking minimums or parking reform,0.19190798103117748
